Non-Grammar,Full
JJ NN NN NNP VBZ VBG NNS NNP NNS NNP VBZ JJ NN VBG NNP NNP IN '' NN NN NNS JJ NNP : JJ NNS VBD NN . ,VB DT NN NN IN NNP NNS DT VBG NNS NNP NNS NNP VBZ JJ NN VBG NNP NNP IN NN '' JJ NN IN NN NNS TO DT NN IN DT NNP : IN RB VBZ IN DT NN NN . 
NNP NNS VBD NN CD . CD CD '' NN NN NNS VBP NNP RB VBD : VBG NN NN VBG NNP DT NNP VBD NNS NNS JJ NN VBD NNP NNP NNP NNP NNP NN NNP NNP NNP ( VBN NNP NNP ) NN NN NN NNP NNS . NN RB JJ VB JJ NNP NNP VBZ VBN NN IN NNP NNP : NNP NN '' JJ JJ NN NN . ,NNP NNS VBD TO VB IN CD . CD CC CD MD '' VB NN CC NN NNS VBP NNP NN WRB JJ : VBG NN NN WRB VBG NNP IN DT NN IN VBN NNS NNS VBP RB JJ IN DT NN VBZ RB VBN NNP NNP NNP NNP NN NN TO NNP NNP NNP ( VBN NNP NNP ) NN MD RB VB DT NN NN NNP NNS TO . VB RB IN DT NN JJ NN NNP NNP VBZ VBN NN IN TO NNP NNP : NN IN DT NN NN '' JJ JJ PRP IN DT JJ NN CC NN . 
NNP NN NN NNP NNP . CD NN SYM : NN NNS JJ JJ NN NN NNP NN NNS NNP VBZ NN JJ NN VBN : NN JJ NNP NNP : VBZ `` JJ NN VBZ `` JJ NNP CD . CD NN VBZ NN : JJ NN NN NN VBN NNS NNP NNP NN `` IN : `` NN . ,NNP NN VBZ NN IN NNP NNP . CD NN SYM : NN NNS JJ NN IN DT NN NN NNP NN NNS NNP VBZ TO VB DT JJ NN VBN : NN JJ NNP NNP : NNS WRB `` JJ NN VBZ `` VBZ JJ NNP CD . CD NN VBZ NN : NN IN NN NN VB WP VBZ VBN IN NNS NNP NNP NN IN `` IN : `` NN . 
NNP NNP NN `` IN : `` NN : NNP NN NN NNP VBG NNS WRB VBG NNS JJ NN NNS VBP VBN NN NN : NN '' NN IN JJ NN NNS VBP NNP JJ NN VBZ `` JJ NNP NNS VBD NNP POS `` NNP NNP NNP `` NNP NN NNS NNS POS JJ NNS : NN '' NN NNP SYM : POS NNP NN '' POS NNP NNP NNP POS NN '' JJ NN JJ JJ : JJ JJ NN VBG . ,NNP NNP NN IN `` IN : `` NN : NNP IN JJ NN IN NNP VBG NNS WRB VBG NNS JJ NN NNS VBP VBN NN NN : NN NN '' JJ NN IN JJ NN NNS VBP NNP JJ NN VBZ `` JJ NNP NNS VBN IN NNP NN '' NNS VBP `` NNP IN NNP NNP `` NNP IN NN NNS IN NNS MD '' VB JJ NNS : CC VBD '' JJ NN NNP SYM : POS NNP NN '' CC POS NNP NNP NNP POS NN NNS POS NNS VBD RP WRB DT NN VBZ JJ JJ : NN IN JJ NN RB VBG . 
NN : NN JJ NN NNP VBD NN RB VBN NN MD VB JJ JJ NNP ( NNP ) NNP NNP VBZ `` NNP NNP `` `` NNP NNP `` . ,NN : NN JJ NN NNS IN DT JJ NN MD RB VB VBN TO VB NNP IN DT JJ NN IN NNP ( NNP ) NNP NNP VBZ PRP `` NNP NNP `` CC `` JJ NN `` . 
NNP NNP NNP POS JJ NNS VBP : NNP VBP JJ NN NN VBG NNP JJ JJ JJ NN NN NNP NN NNS VBD CD NNS VBP NNP NNS RB JJ WRB VBG NN NNP VBZ NNS VBD NNS JJ NN NN NN NN NNS ( NN . NN . ,NNP NNP NNP NN '' NNS RB NNS IN NNP : NNP NN IN DT NN NN IN NN VBG NNP JJ NN IN JJ IN NN NN NNP NN NNS VBP VBN IN CD NNS IN NN NNP NNS VBP RB JJ WRB VBG NN NNP VBZ IN NNS VBN IN NNS RB VBN IN DT NN NN NN VBP RB VB RP IN NNS ( NN . NN . 
JJ NNP JJ JJ NNP ) DT NN VBD NNP NNP POS NN NN NN NNP VBG NN NNS NNP NNS VBP NNS JJ VBP DT NNS VBP NN NNS VBP JJ NNS NNP NN '' JJ NNP NN VBD NNP NNP NNP VB JJ NNS VBP NN NNS NN . IN VBG NN VBZ NN JJ IN NN NNP NN NNS : POS JJ NNP NN NN JJ NN `` NNP VBP `` NNS NNP VBD NNP NNP NN NNP NN NN NN NN VBZ NNS JJ NNP NN NNS VBP NNP NNS RB VBN NNS NNP NN . CD '' NN RB NNP NN NNS VBP VB RB VBG VBG JJ JJ NN NN NNP NNP JJ JJ NN JJ NNS SYM : JJ NN NN : NN NN NN NN ( : JJ NN VBP JJ NN RB RB CD NN ) POS NN NN ( JJ ) NN NNS VBP JJ NNP NN NN NN VBD NN VBG JJ NN NN IN JJ NN JJ ( JJ JJR VBZ ) VBZ JJ NN NN NNP NNP JJ NNS JJ NN NN RB JJ NN NN NNP NNP : NN JJ NN NNP VBZ FW NN RB NNP VB NN NNS `` NNP JJ NNS `` NN NNP VB NN NNS NNP NN NNS VBD JJ NNS NNP VBD RB VBG JJ JJ NNS ( NN ) NNP POS NN NN RB NNP NN : NN NN NNP VBZ JJ NN IN NNS NNS NNS VBG JJ NNS NNP NN VBD NN VBG NNP VBZ NNP NNP NNP NNP NNP NNP CD NNP NNP NNP NN VBG JJ VB JJ NN DT NN NNS JJ NN ( NNP CD RB VBP ) NNP VBZ VBG VBG RB NN NNP NN NN SYM : NN VBG JJ NN NN NN NN NN POS NN VBN . ,JJ CD JJ IN JJ NNP ) DT NN VBN IN NNP NNP NN '' JJ IN JJ NN NNP VBG IN NN NNS NNP NNS CC NN NNS VBP JJ TO VB DT NNS NN IN NN NNS NNS IN JJ NNS NNP NN VBD POS JJ JJ NNP DT NN NN IN DT NNP NNP MD RB VB TO JJ NNS VBP NN NNS TO VB . VB VBG NN VBZ NN JJ IN NN NNP IN NN NNS : VBD POS NN JJ NNP NN NN IN JJ NN `` NNP IN NN `` NNS NNP WRB VBN IN NNP NNP NN NNP NN NN NN NN VBZ NNS JJ NNP NN NNS VBP NNP NNS RB VBN IN NNS NNP NN . CD NN '' JJ VB RB IN PRP NNP NN NNS VBP TO VB RB IN VBG PRP VBG NN IN JJ NN NN NNP NNP VBZ RB VB DT JJ NN JJ NNS SYM : JJ NN NN : NN NN NN NN ( VBD : DT JJ NN TO VB JJ NN RB RB TO CD NN ) NN '' JJ NN NN ( JJ ) NN NNS VBP RB JJ NNP NN WRB NN NN VBZ VBN IN NN VBG JJ NN NN IN TO VB NN VBZ RB JJ ( CC RB JJR IN PRP VBZ ) VBZ NN NN TO VB NNP NNP IN JJ NNS IN JJ NN NN RB JJ NN IN NN NNP NNP : NN JJ NN NNS IN NNS VBP NN RB NNP VB NN NNS `` NNP JJ NNS `` NN NNP VB NN VBZ DT NNP NN NNS VBD TO VB NNS NNP VBZ VBN RB WRB VBG JJ JJ NNS ( NN ) NNP POS NN VBD DT NN RB NNP NN : DT NN NN NNP VBZ JJ NN IN NNS RB IN NNS NNS RB VBG JJ NNS NNP NN VBD IN NN VBG NNP VBZ NNP NNP NNP NNP NNP NNP CD NNP NNP NNP NN VBG JJ VB IN JJ NN DT NN NNS VBP DT JJ NN ( NNP CD RB VBP ) NNP VBZ VBG WRB VBG DT JJ NN NNP NN NN IN NN : RB NN VBG IN JJ NN NN IN NN IN NN NN NN '' JJ NN IN VBN . 
JJ NN `` VBZ NN `` NN NNS IN NNS NNP NN NNS VBP NN NN . ,JJ NN TO `` VB NN `` NN NNS IN NNS NNP NN NNS VBP IN NN NN . 
NNP NNP NNP NNP VBZ `` NNP NNP `` : `` NNP IN `` JJ NN NN JJ NN NNP NN VBD IN CD NN JJ NNP NN NNP NNP NN NN IN NN VBG NNP NN NN POS NN NN : JJ NN . VBG . NN JJ NN NNP VBD VBZ JJ PRP RB VBD JJ NN NN RB VBG NN NN ( NNP ) NN . ,NNP NNP NNP NNP VBZ `` NNP NNP `` : `` NNP IN `` JJ NN DT NN IN JJ NN IN NNP NN VBD IN RB CD NN JJ NNP NN IN NNP NNP NN CC JJ NN NN VBG DT NNP IN DT NN NN NN '' JJ NN NN : JJ NN . VBG . NN JJ NN NNP VBD NNS JJ WRB PRP RB VBD TO VB RP IN DT NN NN RB IN VBG DT NN NN ( NNP ) NN . 
JJ NNS VBP JJ NN VBG NNP : NN '' NN RB NNP NNP CD NN NNS VBP RB JJ NN NN NN CD NNS VBP NNP NNP NN VBD NN NN : NNS ( NNS ) VBP NNP NNP JJ NN NN ( VBN NN ) VBZ RB JJ JJ NN NN NN JJ JJ NNS VBP NNP NN NN NN VBZ JJR NN NNP NNP : NN NN NNP NN NNP NN VBN NNP NNP NNP NNP VBP NNP NN NNP VBG JJ RB VBN NN JJ JJ NNP NNS NN VBZ NNP NN NNP NN NNP NNP NNS NNP CD . CD NNS VBG NN NNP NN NN NNP VBG NN NNP VBG JJ NN JJ JJ NN ( NNP NN ) JJ NNP NN '' VBG NNP NN NNP POS JJ JJ NN RBR JJ NN VBG NNP NN JJ VBZ JJ NN VBN NNS . NN CD . CD VBG NN JJ NN JJ POS NN NN NNP POS NN NN NNS NNP VBD NN VBD VBG NNS IN JJ NN VBZ DT `` NN VBD JJ `` NN ( JJ NN ) VBG NNP NNP JJ NN NN VBG NN '' JJ NNS POS NNS JJ JJ NN NN . ,JJ NNS VBP IN JJ NN VBG NNP : NN NN '' JJ NN RB NNP NNP CD NN NNS VBP RB JJ TO VB DT NN CC NN IN CD JJ NNS IN NNP NNP NNP NN VBD NN IN WRB NN : NNS ( NNS ) VBP IN NNP NNP JJ NN NN ( VBN NN ) VBZ RB IN JJ JJ NN DT NN NN TO VB DT JJ NNS IN JJ NNP NN NN NN VBZ NN NN RP NNP NNP : IN NN IN NN NNP NN NNP NN NN IN NNP NNP NNP NNP VBP JJ NNP NN NNP NN VBZ RB JJ NNP VBN NN VBZ VBN JJ NNP NNS VBP DT JJ NN IN PRP$ NNS NNP NN NNP VBZ RB VB IN NNP NNP NNS NNP CD . CD NNS WRB VBG DT NN NNP IN DT JJ JJ NN NN IN NN NNP VBG IN JJ NN MD VB DT JJ NN ( NNP NN ) JJ NNP NN NN '' JJ VBG NNP NN IN NNP NN '' NNS VBP JJ NN RBR JJ NN VBG NNP NN TO VB NNS IN JJ NN VBZ VBN IN IN NNS . NN CD . CD VBG NN WRB DT JJ NN VBZ JJ NN POS NN VBP DT NN NNP POS NN VBN NN NNS NNP VBD WRB NN VBD VBG NNS IN NN NN MD VB IN NNS NNP `` JJ DT VBD NNS `` NN ( JJ NN ) VBG NNP NNP NN IN NN NN CC VBG PRP RB IN DT NN IN '' JJ IN NN '' VBZ DT JJ NN TO VB IN DT NN . 
NNS NNS POS NN : NNP VBG NN NN NNP NN NN NN VBD JJ VBN . ,NNS NNS VBP '' JJ NN : NNP IN VBG DT NN NN NNP NN NN NN VBZ VBN WRB NN VBZ VBN . 
NNP NNP NNP VBD NN : NNP NNP POS NN NN NN NNP RB VBZ NNP NN NN NN VBG NN NN IN VBG NN NN NN NNP NN NN NNP NN NN NN VBZ NN NNP NNP NN MD RB RBR NNP NN JJS RB VBZ JJ CD . CD NNP NN VBD CD NNS VBP VBZ JJ NNS VBG NNP RB VBZ JJ NN NNS VBP NN NN RB NNP NN '' NN RB NNP NN NN NN NNP POS NN `` IN VBG JJ NN `` NNP NN NN NNS NNS `` NNP NN : `` POS NN VBD JJ `` JJ NNP `` JJ NNS VBG NN NN : NN NNS NNS NNS POS JJ CD NN NNS NN NN . SYM : NNS VBP `` RB `` JJ NN VB JJ NNS IN NNS NNP NNP NNP NN NNP POS JJ NN NN . NN IN NN VBZ JJ NNS VBN NN NNP VBZ NNS VBN JJ NNP JJ NN NN NNP NNP NNP VBP JJ JJ NNS VBG IN NNS : NN SYM : NN NNS NNP NN '' NN NN NN VBG NN NN NN NNP CD . CD NN NNS IN JJ # VBG NNP NNS VBD NN NN EX '' NNP NN NNP VBD NNP . NN NNP VBZ NN '' JJ NN NNS NNP NN NN NN VBG NN NNS VBP JJ NN NN NNP VBZ DT NN VB VBN NN NN : NN NNS NN . NN . RB POS NN NNP NNS NN NN VBZ `` VB NNS `` JJ NNP NNP NN NNP NN ( RB ) NNS VBZ NN JJ NN NN NN VBZ NNP NNP VBD VBD JJ : NN '' NN : NN VBG NNS JJ VBG NN NNP NN NNP NN NN JJ NN NN NNP . ,NNP IN NNP NNP VBD NN : NNP NNP VBD POS JJ NN IN JJ NNS NNP RB VBZ PRP NNP NN TO VB NN IN VBG DT NN NN IN VBG DT NN TO DT NN NN NNP TO DT NN NN NNP NN NN VBZ RB VB PRP$ NNS NN NNP NNP NN MD VB RB RBR NNP IN NN IN JJS RB VBZ RB JJ IN CD . CD NNP CC NN IN DT JJ NN IN DT NNS VBP VBZ JJ NNS VBG NNP RB VBZ JJ NN NNS IN NNS VBP NN RB NNP NN NN '' JJ NN RB NNP NN CC NN NN NNP MD '' VB NN `` IN DT VBG NN NN RB `` NNP NN NN VBZ DT NNS `` NNP NN : `` VBD '' JJ NN VBD JJ `` NNP IN NNP `` NN NNS WRB VBG NN NN : NN NNS VBP RB VB NNS NNS VBP '' JJ NN IN JJR IN CD NN NNS TO NN NN . SYM : NNS VBP `` RB `` TO VB IN NN VB JJ NNS IN NNS NNP NNP NNP NN NNP POS NN NN MD RB VB NN . NN IN NN VBZ TO JJ NNS VBN IN NN NNP NNS IN NNS MD VB VBN JJ VBG DT JJ NN NN NNP NNP NNP VBZ RB VB TO VB RP JJ NNS IN VBG PRP IN NNS : NN SYM : NN NNS NNP NN NN '' JJ VBP DT NN NN VBG NN NN NN NNP CD . CD TO NN NNS IN JJ # VBG NNP NNS VBD NN NN EX JJ '' NN DT NNP NN NNP RB VBD IN NNP . NN NNP VBZ IN DT NN VBZ POS JJ NN IN NNS NNP NN IN NN NN VBG IN NN CC NNS VBP NN IN NN NN NN VB RP DT NN TO VB DT JJ NN NN : IN NN NNS NN . NN . RB NN '' JJ NN NNP NNS WRB DT NN NN VBZ IN DT `` VB NNS `` JJ NNP NNP NN NNP NN ( RB ) NNS VBZ NN JJ NN NN NN VBZ NNP NNP MD RB VB VBN DT VBD JJ : JJ NN POS NN NN : NN RP VBG NNS JJ VBG TO VB NNP RB VB DT NNP TO VB IN DT NN TO VB DT JJ NN VBD DT NNP . 
PRP VBP SYM : NN NN NN NN VBP NN NN NN JJ : VBG NN '' NN NN . ,PRP VBP SYM : NN TO VB RP DT NN NN VBP DT NN IN DT NN NN JJ : VBG DT NN NN '' JJ NN NN . 
NNP NN NN NN . ,NNP TO VB DT NN NN . 
NN : NN MD VB NNP ( NN ) VBG NN RB JJ NN NN : NN NN SYM : NN : JJ NN VBD NN NN : JJ : JJ NNS JJ NN NN NN NN : NNS VBP CD NN JJ NN . ,NN : NN MD RB VB NNP ( NN ) VBG DT NN RB JJ NN NN : NN NN SYM : NN : NN TO VB RP DT VBN NN NN : JJ : JJ NNS JJ NN NN NN NN : DT NNS VBP JJ CC IN CD NN JJ NN . 
NNP : POS JJ POS NN ( IN NN ) RB VBN RB JJ NN NN NNP : NN VBG '' NN NNP POS JJ NN '' NN JJ NN NNP NN NN NN IN VBG NN . NN NNS VBZ JJ . NN NN NNP NN NNP NNP VBZ NNS NNP NNS VBP VB NN `` NNP `` NN VBD JJ NN NN : NN NN NNS NNP NN VBZ RB . JJ JJ NN NN NN NNP JJ RB JJ VBD JJ : NN NN NN VBZ NN NNP . NNP RB NNP . NNP SYM : ( VB NN ) NN NN NNP NNP NNP RB VB IN NNP NNP NNP NN NN NNP NNP JJ NN : JJ : JJ NNP : NN NNP : NN VBG NNS NNP NN '' NN VBN NNP : NNP NNP NN NNP NNS VBP NN NNS NNP VBZ IN NN JJ NN NNP NN NN NNP NN : VBN NNP IN NN VBD PRP JJ JJ NN : NNP NN NN RB : NN NN JJ RB NN JJ NN NNP VBZ NNP CD . CD NNP NNS NNP NN NN NN NNP NNP VBZ NNP NNP NNP VBD NN NN NN NN NNS VBP VBG NNP NNS POS NN VBD NN VBD NNP `` NNP NNP `` JJ NN NNP NNS VBP NNP VBD RP NN VBG NNP VBZ JJ NN VBD JJ NN NN NN NN VBG NNS JJ NN NN NNS IN JJ NN NN NNP NNP NN NN NNS NNS VBP JJ NN NNP NN NN VBG NN NN VBZ JJ NN JJ NN : NN VBD RB DT NNP NNP NN NN NN VBN NNP NN VBG ( JJ NN NNP NN NNP NN NNP VBN NN VBG '' NN NNP POS NNP NN NNS VBD IN NN VBZ DT NN NN NNS VBD RB IN NNS VBD NN NNP NN NN NNS VBG JJ NN NNP ( NN VBD ) NNS NNP POS VBG NNP NN '' POS VB NNP NNP NN NN NNS : NN JJ NNS VBG JJ NN IN NNP VBZ JJ NN NNP NNP NNP NNP NN NN : NNS JJ NN : NN NN VBZ NN '' DT NN RB JJ NNP NNP NNP NNP NNP NNP VBZ NNS VBG SYM : NN NNP VBG `` JJ NN NN : `` NN JJ NN VBN . ,NNP : POS JJ POS NN ( IN DT NN ) RB VBN TO RB VB DT NN NN NNP : NN VBG NN '' JJ NN NNP POS JJ NN '' NN JJ NN NNP IN JJ NN NN IN NN VBG NN . NN NNS VBZ JJ . NN NN NNP NN IN NNP NNP VBZ DT NNS NNP NNS VBP WRB VB NN `` NNP `` NN VBZ VBN JJ NN IN NN : NN NN NNS NNP NN VBZ TO VB . JJ JJ NN IN NN NN MD VB JJ TO RB VB DT JJ NN : IN NN MD VB DT NN NN DT NNS VBP NNP . NNP RB IN NNP . NNP SYM : NN ( VB NN ) VBZ RB VB IN DT NN NNP NNP NNP RB VB IN NNP NNP NNP NN NN IN NNP NNP MD RB VB NN IN : JJ : JJ NNP : NN NNP : NN VBG NNS TO DT NNP NN NN '' JJ NN IN VBN NNP : NNP NNP VBZ RB VB NNP NNS WDT VBP TO NN NNS NNP VBZ IN NN IN DT JJ NN NNS WRB VBG NN IN NNP IN JJ : IN JJ NNP NN NN VBD PRP VBZ JJ TO VB NNP : NNP NN NN RB : NN NN IN DT JJ RB VBZ NN JJ TO VB NNP NNS IN NNP CD . CD NNP NNS NNP NN NN VBZ RB VB IN NNP NNP VBZ NNP NNP NNP VBD IN NN VBP NN TO VB NNS NN VBZ RB VBG NNP NNS VBP '' JJ NN TO CD IN NN WRB VBN EX DT `` JJ NNP `` JJ NN NNP NNS IN NN NNP VBD IN NN IN NN VBG NNP VBZ WRB DT JJ NN IN DT NN VBZ DT NN NN NN IN NN NN VBG NNS JJ NN IN NN NNS IN JJ NN NN NNP NNP NN NN RP NNS NNS IN JJ JJ NN NNP CC JJ NN NN IN NN NN VBZ JJ NN JJ NN : RB NN VBD RB DT NNS CC NNP VBP NN NN VBN NNP NN RB VBG ( JJ IN JJ NNP NN NNP NN NNP VBN NN VBG NN '' JJ NN NNP POS NN VBP NNP VBG IN NNS VBN IN NN VBZ DT NN NN NNS VBD RB IN NNS VBD TO PRP VBP DT NN MD RB VB IN NN NNS VBG JJ NN NNP ( NN VBD ) IN NNS NNP POS IN DT VBG NNP NN RB POS NN '' NNS VBP NNP NNP NN NN NNS IN : NN JJ NNS IN DT VBG JJ RB VBZ RB VB IN NNP VBZ DT JJ NN IN NNP VBZ IN NNP NNP NNP NN NN : NNS IN NN IN DT JJ NN : NN NN VBZ IN NN '' JJ DT NN MD VB PRP$ JJ JJ NN NNP NNP NNP NNP NNP NNP VBZ JJ NNS VBG SYM : NN IN VBG RP `` JJ NN NN : `` VBZ DT NN IN JJ NN VBZ VBN . 
WRB NNP NN NN VBZ NN VBZ `` VB `` JJ NN . ,WRB NNP VBZ IN JJ NN DT NNS NN VBZ DT `` NN IN `` JJ NN . 
NNP VBZ NN ( NN ) NN NN VBZ JJ NN NNS NNP JJ NN NN RB JJ NN NNP IN VBG JJ NN NNP VBD NNP NNP NNP NNP NN NNS VBG NNP : NN NNP : NN NN NNP NNP . NN VBZ VBG `` JJ NNS `` NNS JJ NNS NNP : NN JJ NN NNP RB VBD NNP NNP NNP NNS VBP NNP VB NNP VBG NN . NN . VB VBP JJ NNP NN : NN NNP VB NN . ,NNP VBZ TO VB ( NN ) NN NN VBZ RP DT VBZ RB JJ TO VB DT NNS IN NNP JJ NN NN RB DT NN NN NNP NN IN VBG JJ NN NNP VBD NNP NNP NNP NNP NN NNS RB VBG NNP : NN NNP : NN IN NN IN NNP NNP . NN VBZ VBG `` JJ NNS `` IN NN VBZ RB JJ NNS NNP : NN TO JJ NN NNP MD RB RB VB VBN IN NNP NNP NNP NNS IN JJ NNP VBZ RB VB IN NNP VBG NN . NN . NN VBZ RB VB DT NNP NNP NN : NN MD RB VB NN . 
. NN NN . ,CC . NN WRB NN . 
RB JJ NN VBD NN NN VBZ VBN IN NNP VBG '' JJ NNP JJ NN POS NNP NN JJ NNS NNP `` NN . VBN `` NN . ,RB JJ NN VBD NN IN DT NN VBZ VBN RP IN NNP VBG IN '' JJ NNP IN JJ NN POS NNP NN CC JJ NNS NNP `` NN . VBN `` VBZ RB VB . 
MD '' VB NN NN JJ VBD NN NN CD . VB NNP NNS VBD NN NN NNP NNS # NNS NNP NNS VBP NNS VBP NNP MD NNP VB NNP VB JJ NNS ( VBN ) NNP VBZ JJ NN DT NN VBG JJ NN NN : JJ NNS NNP NNP NNP VBZ VBP NNP POS VBN RB JJ '' JJ `` JJ `` JJ NN NN NN NN : VBZ `` `` : NN NNP NN VBZ RB JJ NNP NNP NNP VBZ RB . NN . NN VBG NN JJ NNP NNP NN VBZ NNS NNS IN NN NN NNS NNP NN NN VB NNP VB NNS VBZ NNP NNP NNP NN NN NNP NNP NN '' VBP NN NN NNP VBG NN NN NN NN POS NN RB VB NNP NNP VBZ NN JJ NNS . ,MD '' VB NNS NN IN JJ JJ NN NN IN NN CD . VB NNP VBZ RB VBG VBN TO VB NN NNP NNS IN # NNS IN NNP NNS VBP NNS RB TO VB RP NNP MD NNP VB NNP NN IN JJ NNS ( VBN ) NNP NNS IN JJ NN WRB DT NN VBZ VBG JJ NN NN : JJ VBZ DT NNP IN NNP NNP NNS VBP RB VB NNP NN '' NN VBD RB JJ NN POS NN VB DT `` JJ `` JJ NN IN PRP VBP DT NN TO DT NN : NNS IN DT `` IN `` : NN NNP IN RB VBZ IN JJ NN NNP NNP NNP VBZ TO VB . NN . NN VBG NN NN IN DT NNP NNP NN VBZ DT NNS IN PRP IN NN IN NN VBZ VBN NNS IN DT NNP NN NN VB NNP VB IN NNS CC JJ NNS VBG NNP IN NNP NN IN NN CC IN NNP NNP NN NN '' NNS VBP DT NN IN NN NNP IN VBG NN NN NN NN NN '' JJ NN RB WRB NN NNP NNP NNS VBP RB VB DT JJ NNS . 
MD '' VB NNS NNP POS JJ NN NN NN VBD NN NN NN NN . VB JJ JJ NN NN . NN '' VBP VBG . ,MD '' VB JJ NNS MD '' VB JJ NN IN NN RP NN JJ NN NN NN NN . NN VBZ RB VB JJ NN NN . JJ NN POS NN VBP TO VB VBG . 
MD '' VB : NN NN NNP NNP NN NNP VBZ VBP NNP NN POS NN VBZ VBG RP NNP NN RB : NN NNP NNP : NNS JJ NNP NNP NNP NN VBZ JJ NNS VBG RB NNP NNP NNP NNP NNP VBG NNS NNP POS NN NNS . VB JJ NN `` NNP NNP NNP `` NNS IN . ,MD '' VB NN : NN IN NN IN NNP NNP NN NNP VBZ VBP NNP NN '' JJ NN VBZ IN VBG RB TO NNP NN RB : NN IN NNP NNP NN : NNS JJ NNP NNP NNP NN VBZ JJ NNS IN VBG IN JJ NNP NNP NNP IN NNP NNP VBG NNS NNP NN '' NN VBP NNS . NN IN JJ VBP `` NNP NNP NNP `` NNS IN . 
DT NN RB NNS JJ NN JJ NNS VBP VBG RB NN NNS VBG NN : NN . JJ NN NN VBG JJ JJ NNP VBG JJ NN NN NNP NNP VBD JJ NN NN JJ : NN '' NN NNP NN VBD DT NN NN VBD JJ NN NNP NN '' JJ JJ NN NN NNP : NN NN NN POS NN NNS VBP NNP NN VBD JJ NNS VBP NNP NNP NNP NNP : `` JJS `` VBZ `` JJ . NN . NN . VB `` `` NNP NN : `` `` NNP NN : `` JJ : NN NN NN POS NN NNP VB NNP CD DT `` VB `` NN NN NNS VBP RB NNP NNP NNP POS NN NN NNS NNP NNP NNP JJ `` NNP : `` NN NN NNP NNP VBD NNS VBN NNP NNP NNP JJ NNP NNP CD NNS NNP NNP NN NN JJ NN SYM : NN '' JJ NN NNP VBN NN NNP IN NN NN VB JJ NNS VBP NN `` NNP NNP IN : `` POS NN RB NNP : NN NNP VBZ JJ NNP NN NN WRB VBG SYM : NN NN JJ NN VBN NNP RB VBZ NNP JJ NN POS JJ NN NN : POS NN NN NN NN CD . CD NNS VBG NN : NN NNP NN NN VBZ JJ NN VBD : '' VB JJ JJ NN NN NN VBG JJ NNP VBP DT NN ( ) NN NN JJ NN . ,DT NN RB VBZ TO DT JJ NN IN JJ NNS VBP VBG TO RB VB NNS VBG NN : NN CC . NN CC DT NN IN DT NN WRB VBG DT JJ NN NNP VBG RB JJ NN NN NN NNP MD VB VBN WRB NN NN NN JJ : NN NN '' JJ NN NNP VBZ RB VB VB DT NN NN VBZ VBN IN JJ NNS NNP NN NN '' JJ IN JJ NN IN NN NNP : NN NN NN NN NN '' JJ NN IN NNS VBP IN NNP NN RB VBN WRB VBN NNS VBP DT NNP NNP NNP NNP : `` JJS `` VBZ TO `` VB . NN . NN . VB `` `` NNP NN IN : `` CC `` NNP NN IN : `` JJ : NN NN NN NN '' JJ NN NNP VBZ RB VB IN NNP CD DT `` VB IN `` NN IN VBG NNS VBZ RB VB RB NNP NNP NNP POS NN NN JJ NNS IN NNP NNP NNP RB JJ IN `` NNP : `` NN NN NNP NNP VBD IN NNS VBN NNP NNP NNP MD VB NNP NNP CD NNS IN NNP NNP NN NN JJ NN IN JJ : NN MD '' VB JJ NN NNP VBN WRB VBG NNP IN NN NN VB DT JJ NN TO DT NN NN `` NNP NNP IN : `` NN '' JJ NN RB NNP : NN NNP VBZ JJ NNP NN NN WRB VBG DT NN : NN NN DT NN NN MD VB VBN NNP RB RB VB NNP JJ NN MD '' VB JJ NN NN : MD '' VB NN WRB NN NN CD . CD NNS WRB VBG NN : NN NNP IN NN NN VBZ JJ NN VBD : RP MD '' VB VB DT NN JJ NN IN JJ NN VBG JJ NNP VBP DT NN ( ) NN IN DT NN NN VBZ RB VB . 
NNP NNP NNP POS NN IN NN . CD NNP NN NN NN . ,NNP NNP NNP NN '' JJ NN IN IN NN . CD NN WRB VBG NN NN . 
NNP VBD JJ NNP NN JJ VBZ VBN '' NN . ,NNP VBD NN IN NNP NN JJ VBZ VBN IN POS NN . 
